Sample,Date,Weight_g,pH,Initials,Misc_notes,Feed Amount (grams),,,,
COW1,2/7/25,5.00,,AD,Experiment start,,,,,
COW2,2/7/25,5.00,,AD,Experiment start,,,,,
CCO1,2/7/25,5.00,,AD,Experiment start,,,,,
CCO3,2/7/25,5.00,,AD,Experiment start,,,,,
CLA1,2/7/25,5.00,,AD,Experiment start,,,,,
CLA2,2/7/25,5.00,,AD,Experiment start,,,,,
COW1,2/9/25,5.12,4.32,AD+JG,,,,,,
COW2,2/9/25,5.6,4.12,AD+JG,,,,,,
CCO1,2/9/25,5.62,3.93,AD+JG,,,,,,
CCO3,2/9/25,5,3.87,AD+JG,,,,,,
CLA1,2/9/25,5.4,3.63,AD+JG,,,,,,
CLA2,2/9/25,5.3,3.6,AD+JG,,,,,,
COW1,2/11/25,5.73,4.39,CMS + GB,,567.27,,,,
COW2,2/11/25,6.29,4.3,CMS + GB,,622.71,,,,
CCO1,2/11/25,5.17,3.74,CMS + GB,CMS & GB: Both CCO1 and CCO2 had lower grain weights than the previous feed session. Possibly the larger mesh size of the larger strainers.,511.83,,,,
CCO2,2/11/25,5.2,3.63,CMS + GB,,514.8,,,,
CLA1,2/11/25,5.84,3.76,CMS + GB,,578.16,,,,
CLA2,2/11/25,5.78,3.48,CMS + GB,,572.22,,,,
COW1,2/13/25,6.75,5.81,AD + GB,,668.25,,,,
COW2,2/13/25,7.58,5.72,AD + GB,,750.42,,,,
CCO1,2/13/25,5.4,4.4,AD + GB,,534.6,,,,
CCO2,2/13/25,5.53,4.26,AD + GB,,547.47,,,,
CLA1,2/13/25,6.92,4.46,AD + GB,,685.08,,,,
CLA2,2/13/25,6.1,4.29,AD + GB,,603.9,,,,
COW1,2/15/25,9.8,5.94,,"CMS: Still fed 1% grain, but used 5 grams of grain to fit in jars for entire batch; 5g grain and 495 grams milk. END OF EXP",970.2,,,,
COW2,2/15/25,8.6,5.77,,,851.4,,,,
CCO1,2/15/25,6.4,4.24,,,633.6,,Enter weight of coconut milk,,
CCO2,2/15/25,6.2,4.48,,,613.8,lactose,milk,batch,grain
CLA1,2/15/25,7.9,4.09,,,782.1,19.37,368.00,387.37,3.91
CLA2,2/15/25,9.7,4.07,,,960.3,18.18,345.40,363.58,3.67
COW1,2/17/25,5.66,5.88,AD + GB,,,,,,
COW2,2/17/25,5.7,5.86,AD + GB,,,,,,
CCO1,2/17/25,5.48,3.89,AD + GB,,,,,,
CCO2,2/17/25,3.79,3.71,AD + GB,,,,,,
CLA1,2/17/25,4.17,3.77,AD + GB,,,,,,
CLA2,2/17/25,4.1,3.98,AD + GB,,,,,,
COW1,2/19/25,,5.63,,"No weights, only pHs. Plated liquid and grains",,,,,
COW2,2/19/25,,5.74,,"No weights, only pHs. Plated liquid and grains",,,,,
CCO1,2/19/25,,3.86,,"No weights, only pHs. Plated liquid and grains",,,,,
CCO2,2/19/25,,4.26,,"No weights, only pHs. Plated liquid and grains. This was solely Walmart coconut milk. it smelled gross too",,,,,
CLA1,2/19/25,,4.35,,"No weights, only pHs. Plated liquid and grains",,,,,
CLA2,2/19/25,,4.78,,"No weights, only pHs. Plated liquid and grains",,,,,
GOAT,2/19/25,,3.75,,"No weights, only pHs. Plated liquid and grains",,,,,
LIFE,2/19/25,,3.72,,"No weights, only pHs. Plated liquid and grains",,,,,
