Minutes,Hours,Temperature,Well,OD_reading,Isolate,CadGene,Conc,Salt,Rep
0,0,22,A1,0.0692,WRLP92,none,120,CdCl2,Rep1
10,0,22.5,A1,0.0693,WRLP92,none,120,CdCl2,Rep1
20,0,23.5,A1,0.0691,WRLP92,none,120,CdCl2,Rep1
30,0,24.5,A1,0.069,WRLP92,none,120,CdCl2,Rep1
40,0,25.5,A1,0.0691,WRLP92,none,120,CdCl2,Rep1
50,0,26,A1,0.0696,WRLP92,none,120,CdCl2,Rep1
60,1,26.5,A1,0.0697,WRLP92,none,120,CdCl2,Rep1
70,1,27.5,A1,0.0695,WRLP92,none,120,CdCl2,Rep1
80,1,27.5,A1,0.0701,WRLP92,none,120,CdCl2,Rep1
90,1,28,A1,0.0698,WRLP92,none,120,CdCl2,Rep1
100,1,28.5,A1,0.0693,WRLP92,none,120,CdCl2,Rep1
110,1,29,A1,0.0696,WRLP92,none,120,CdCl2,Rep1
120,2,29,A1,0.0697,WRLP92,none,120,CdCl2,Rep1
130,2,29,A1,0.0701,WRLP92,none,120,CdCl2,Rep1
140,2,29.5,A1,0.0696,WRLP92,none,120,CdCl2,Rep1
150,2,29.5,A1,0.0698,WRLP92,none,120,CdCl2,Rep1
160,2,29.5,A1,0.0696,WRLP92,none,120,CdCl2,Rep1
170,2,30,A1,0.0698,WRLP92,none,120,CdCl2,Rep1
180,3,30,A1,0.0697,WRLP92,none,120,CdCl2,Rep1
190,3,30,A1,0.0697,WRLP92,none,120,CdCl2,Rep1
200,3,30,A1,0.0697,WRLP92,none,120,CdCl2,Rep1
210,3,30,A1,0.0695,WRLP92,none,120,CdCl2,Rep1
220,3,30,A1,0.0695,WRLP92,none,120,CdCl2,Rep1
230,3,30,A1,0.0702,WRLP92,none,120,CdCl2,Rep1
240,4,30,A1,0.0702,WRLP92,none,120,CdCl2,Rep1
250,4,30,A1,0.07,WRLP92,none,120,CdCl2,Rep1
260,4,30.5,A1,0.0698,WRLP92,none,120,CdCl2,Rep1
270,4,30.5,A1,0.0697,WRLP92,none,120,CdCl2,Rep1
280,4,30.5,A1,0.0698,WRLP92,none,120,CdCl2,Rep1
290,4,30.5,A1,0.0701,WRLP92,none,120,CdCl2,Rep1
300,5,30.5,A1,0.0699,WRLP92,none,120,CdCl2,Rep1
310,5,30.5,A1,0.07,WRLP92,none,120,CdCl2,Rep1
320,5,30,A1,0.07,WRLP92,none,120,CdCl2,Rep1
330,5,30,A1,0.0699,WRLP92,none,120,CdCl2,Rep1
340,5,30,A1,0.0707,WRLP92,none,120,CdCl2,Rep1
350,5,30,A1,0.07,WRLP92,none,120,CdCl2,Rep1
360,6,30,A1,0.0696,WRLP92,none,120,CdCl2,Rep1
370,6,30,A1,0.0693,WRLP92,none,120,CdCl2,Rep1
380,6,30,A1,0.0697,WRLP92,none,120,CdCl2,Rep1
390,6,30,A1,0.0697,WRLP92,none,120,CdCl2,Rep1
400,6,30,A1,0.0702,WRLP92,none,120,CdCl2,Rep1
410,6,30,A1,0.0695,WRLP92,none,120,CdCl2,Rep1
420,7,30,A1,0.0696,WRLP92,none,120,CdCl2,Rep1
