Minutes,Hours,Temperature,Well,OD_reading,Isolate,MIC,Conc_ppm,Condition,Avg,reps
0,0,35,A1,0.0734,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
10,0.1666666666666667,37,A1,0.0736,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
20,0.3333333333333333,37,A1,0.0728,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
30,0.5,37,A1,0.0739,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
40,0.6666666666666666,37,A1,0.0736,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
50,0.8333333333333334,37,A1,0.0736,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
60,1,37,A1,0.0742,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
70,1.166666666666667,37,A1,0.074,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
80,1.333333333333333,37,A1,0.0738,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
90,1.5,37,A1,0.0735,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
100,1.666666666666667,37,A1,0.0731,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
110,1.833333333333333,37,A1,0.0728,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
120,2,37,A1,0.0725,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
130,2.166666666666667,37,A1,0.0724,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
140,2.333333333333333,37,A1,0.0735,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
150,2.5,37,A1,0.0729,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
160,2.666666666666667,37,A1,0.0724,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
170,2.833333333333333,37,A1,0.0737,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
180,3,37,A1,0.0737,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
190,3.166666666666667,37,A1,0.0736,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
200,3.333333333333333,37,A1,0.0731,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
210,3.5,37,A1,0.0731,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
220,3.666666666666667,37,A1,0.0732,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
230,3.833333333333333,37,A1,0.0727,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
240,4,37,A1,0.074,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
250,4.166666666666667,37,A1,0.0744,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
260,4.333333333333333,37,A1,0.0724,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
270,4.5,37,A1,0.0724,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
280,4.666666666666667,37,A1,0.0728,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
290,4.833333333333333,37,A1,0.0732,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
300,5,37,A1,0.073,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
310,5.166666666666667,37,A1,0.0728,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
320,5.333333333333333,37,A1,0.0744,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
330,5.5,37,A1,0.0723,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
340,5.666666666666667,37,A1,0.0744,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
350,5.833333333333333,37,A1,0.0741,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
360,6,37,A1,0.073,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
370,6.166666666666667,37,A1,0.0729,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
380,6.333333333333333,37,A1,0.073,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
390,6.5,37,A1,0.0721,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
400,6.666666666666667,37,A1,0.0735,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
410,6.833333333333333,37,A1,0.0719,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
420,7,37,A1,0.0734,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
430,7.166666666666667,37,A1,0.0737,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
440,7.333333333333333,37,A1,0.0723,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
450,7.5,37,A1,0.073,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
460,7.666666666666667,37,A1,0.0744,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
470,7.833333333333333,37,A1,0.0737,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
480,8,37,A1,0.0734,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
490,8.166666666666666,37,A1,0.0732,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
500,8.333333333333334,37,A1,0.0739,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
510,8.5,37,A1,0.0745,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
520,8.666666666666666,37,A1,0.0734,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
530,8.833333333333334,37,A1,0.0726,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
540,9,37,A1,0.0724,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
550,9.166666666666666,37,A1,0.0733,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
560,9.333333333333334,37,A1,0.0728,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
570,9.5,37,A1,0.0742,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
580,9.666666666666666,37,A1,0.0735,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
590,9.833333333333334,37,A1,0.073,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
600,10,37,A1,0.0727,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
610,10.16666666666667,37,A1,0.0744,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
620,10.33333333333333,37,A1,0.0736,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
630,10.5,37,A1,0.0736,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
640,10.66666666666667,37,A1,0.0734,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
650,10.83333333333333,37,A1,0.0733,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
660,11,37,A1,0.0744,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
670,11.16666666666667,37,A1,0.0734,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
680,11.33333333333333,37,A1,0.0732,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
690,11.5,37,A1,0.0743,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
700,11.66666666666667,37,A1,0.0728,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
710,11.83333333333333,37,A1,0.0737,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
720,12,37,A1,0.0738,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
730,12.16666666666667,37,A1,0.0727,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
740,12.33333333333333,37,A1,0.0727,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
750,12.5,37,A1,0.0735,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
760,12.66666666666667,37,A1,0.073,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
770,12.83333333333333,37,A1,0.0731,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
780,13,37,A1,0.0727,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
790,13.16666666666667,37,A1,0.0735,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
800,13.33333333333333,37,A1,0.0732,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
810,13.5,37,A1,0.0729,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
820,13.66666666666667,37,A1,0.0728,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
830,13.83333333333333,37,A1,0.0742,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
840,14,37,A1,0.0732,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
850,14.16666666666667,37,A1,0.0744,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
860,14.33333333333333,37,A1,0.0733,WRLP17,MIC ≤0.5 ppm,8,test,FALSE,Replicate 1
